Gmt time,Open,High,Low,Close,Volume
01.12.2010 22:00:00.000,88.734,90.810,88.390,90.680,10575.084000000003
02.12.2010 22:00:00.000,90.690,91.838,90.086,91.565,18357.710900000002
05.12.2010 22:00:00.000,91.578,91.999,90.836,90.968,22625.6281
06.12.2010 22:00:00.000,90.975,92.840,90.695,90.868,15015.800899999998
07.12.2010 22:00:00.000,90.858,91.708,90.128,90.991,17948.3942
08.12.2010 22:00:00.000,90.986,91.609,90.257,91.267,10248.367999999999
09.12.2010 22:00:00.000,91.275,91.540,89.846,90.536,17926.2181
12.12.2010 22:00:00.000,90.426,92.256,90.413,90.788,24601.9698
13.12.2010 22:00:00.000,90.744,91.699,90.554,91.266,12581.452000000001
14.12.2010 22:00:00.000,91.279,92.389,90.306,92.048,20819.240800000003
15.12.2010 22:00:00.000,92.039,92.220,91.489,91.748,7536.135
16.12.2010 22:00:00.000,91.736,92.360,90.880,91.556,8968.311900000002
19.12.2010 22:00:00.000,91.642,92.866,91.006,92.538,13436.3231
20.12.2010 22:00:00.000,92.530,93.468,92.346,93.405,6588.1981
21.12.2010 22:00:00.000,93.428,93.908,93.228,93.738,6543.748000000001
22.12.2010 22:00:00.000,93.716,94.520,93.266,94.258,3463.024
26.12.2010 22:00:00.000,93.308,94.499,93.065,93.606,10337.100999999999
27.12.2010 22:00:00.000,93.562,94.385,93.505,94.156,5635.546899999999
28.12.2010 22:00:00.000,94.130,94.350,93.609,93.974,4637.338999999999
29.12.2010 22:00:00.000,93.960,94.388,92.319,92.629,4032.9510000000005
30.12.2010 22:00:00.000,92.609,94.269,92.166,94.115,3797.9599
02.01.2011 22:00:00.000,94.695,96.137,94.478,94.794,12460.9659
03.01.2011 22:00:00.000,94.789,95.709,92.568,93.256,11124.437900000003
04.01.2011 22:00:00.000,93.275,95.797,92.345,95.435,11143.642
05.01.2011 22:00:00.000,95.428,96.086,93.987,94.348,8404.151
06.01.2011 22:00:00.000,94.351,94.537,92.575,93.574,16733.7159
09.01.2011 22:00:00.000,93.807,95.857,93.586,95.684,20992.8279
10.01.2011 22:00:00.000,95.710,97.798,95.059,97.465,10228.3421
11.01.2011 22:00:00.000,97.458,98.819,97.266,98.199,11031.3781
12.01.2011 22:00:00.000,98.207,98.638,97.268,98.409,6576.548999999999
13.01.2011 22:00:00.000,98.418,98.550,96.755,98.550,12776.1379
16.01.2011 22:00:00.000,98.435,98.626,97.375,97.547,6891.873000000001
17.01.2011 22:00:00.000,97.350,98.340,96.588,97.507,8874.9229
18.01.2011 22:00:00.000,97.527,98.570,97.302,97.919,9112.968899999998
19.01.2011 22:00:00.000,97.905,98.090,95.417,96.283,7334.321
20.01.2011 22:00:00.000,96.276,97.818,96.134,97.610,11925.375100000003
23.01.2011 22:00:00.000,97.700,98.129,96.205,96.435,16814.761
24.01.2011 22:00:00.000,96.447,96.655,94.730,95.300,10721.5573
25.01.2011 22:00:00.000,95.318,98.310,95.194,98.197,12041.393900000003
26.01.2011 22:00:00.000,98.190,98.919,97.186,97.259,10968.213
27.01.2011 22:00:00.000,97.246,99.697,97.115,99.318,22839.554699999997
30.01.2011 22:00:00.000,99.667,101.669,98.477,100.499,31511.979100000004
31.01.2011 22:00:00.000,100.508,102.049,100.179,101.526,15271.6079
01.02.2011 22:00:00.000,101.508,102.559,101.259,102.288,12788.2179
02.02.2011 22:00:00.000,102.296,103.317,101.396,101.799,9776.645999999999
03.02.2011 22:00:00.000,101.746,102.447,99.466,99.888,19292.920000000002
06.02.2011 22:00:00.000,100.390,100.868,98.757,99.149,23556.062900000004
07.02.2011 22:00:00.000,99.179,100.389,97.486,100.178,15493.977299999999
08.02.2011 22:00:00.000,100.158,102.218,100.013,102.046,15243.349799999996
09.02.2011 22:00:00.000,102.058,102.846,100.456,101.587,14709.365099999997
10.02.2011 22:00:00.000,101.569,102.509,100.507,101.320,20148.1611
13.02.2011 22:00:00.000,101.417,104.256,100.886,102.958,24614.6079
14.02.2011 22:00:00.000,102.964,103.999,101.277,101.749,13233.739899999997
15.02.2011 22:00:00.000,101.719,104.489,101.610,103.886,15497.114300000001
16.02.2011 22:00:00.000,103.904,104.299,102.349,102.818,10264.655999999999
